wallet_address,bot_type,confidence,trades,buys,sells,mints_traded,mean_buy_sol,median_hold_sec,mean_cu_price,cluster_size,burst_follow_rate,signature,reasons
6j3YSuJXHaV4D89fSiaxoxxxBNDwD75PSKPQrr1sy7qw,sybil,0.512,35,17,18,14,0.9875,24.8,3099038,15,0.000,Sybil cluster (15 wallets) | 0.9875 SOL avg,Funding cluster: 15 wallets
sT64N1kh6eYzgLDBmpetWbeL2LhMZMMfhwQ3pAFRvkZ,deployer,1.000,2,1,1,2,0.9877,0.0,5833333,1,0.000,Deployer (2 tokens),Created 1 token(s)
cAytcTjBrpcSqgV1hrbpoaMYRvXark1zynxnL4VeJX1,early_exit,0.727,98,48,50,48,1.0514,5.4,3158333,1,0.000,Early exit | 5s median hold,First seller: 47/50 times; Prediction accuracy: 64.0%; Quick exits: 5.4s median
N5ffQGqnvDaJTsVGw6AxpsgsAgr8fkve6fiffpP2WGw,sybil,0.500,6,2,4,3,0.1250,604.4,333333,34,0.000,Sybil cluster (34 wallets) | 0.1250 SOL avg,Funding cluster: 34 wallets
57iN5WX3cmDW2hHapLBfr1voib7L6fGhQznCQeoxGBoX,sybil,0.509,23,13,10,6,0.5791,32.4,5942028,15,0.000,Sybil cluster (15 wallets) | 0.5791 SOL avg,Funding cluster: 15 wallets
EriycfZyfDa7DQ7uDxFU2GUSLAy7E8AtQYKYeftfFQg3,sybil,0.505,28,15,13,8,0.1612,74.3,1000000,41,0.000,Sybil cluster (41 wallets) | 0.1612 SOL avg,Funding cluster: 41 wallets
DpDKM995XBxN2whHhumgnXaw7bEuNfDTt7wrgMFvQ1qD,metric_bot,0.526,25,12,13,13,0.0152,140.4,310344,6,0.667,Metric bot (67% burst-triggered) | 140s hold,Burst-triggered: 8/12 buys after bursts; Template CU: variance=0
BcCtZYPFqXfE8mPWLHTbme1B9gjF3QcBB6gKv7xRv7eY,sybil,0.530,6,5,1,2,0.0183,0.0,1418591,57,0.000,Sybil cluster (57 wallets) | 0.0183 SOL avg,Funding cluster: 57 wallets; Micro-buys: 0.0038 SOL median
3D9PcNTrMqLmH85t3ZAyZs3x1yDxLAGN7qs7DUPRJxxe,sybil,0.502,54,35,19,14,0.0868,50.4,270666,15,0.000,Sybil cluster (15 wallets) | 0.0868 SOL avg,Funding cluster: 15 wallets; Micro-buys: 0.0196 SOL median
FUu6zjDM7XQq1XuPqH1PFfpngVMvJwqsgMC9YudEcse6,sybil,0.528,5,1,4,2,0.0049,73.4,666666,33,0.000,Sybil cluster (33 wallets) | 0.0049 SOL avg,Funding cluster: 33 wallets; Micro-buys: 0.0049 SOL median
7tMmS47pVZ1kZDuBXoVSPA6CRFvTDLkdrWPc2rfgVmrk,sybil,0.512,23,11,12,8,0.4669,48.1,82747019,33,0.000,Sybil cluster (33 wallets) | 0.4669 SOL avg,Funding cluster: 33 wallets; Concentrated volume: 53.8% in smallest 8 buys
F8jUkRXD6DM2TZfntQiHm6h74o8PaQyPJFxiiNUg93rQ,metric_bot,0.546,32,17,15,3,0.4486,67.1,6666666,1,0.824,Metric bot (82% burst-triggered) | 67s hold,Burst-triggered: 14/17 buys after bursts; Template CU: variance=0
5DnaiU3NMya4f5Ju1mnasrAP5SDPdsqRWbvy7PZuG6qu,metric_bot,0.505,6,4,2,3,0.0058,50.9,1000000,1,0.250,Metric bot (25% burst-triggered) | 51s hold,Consistent delay: std=0.00s; Template CU: variance=0
B726qQfiDj5rbUAgz1qGsdVaMuiuYTwch8vVnp7CgGfF,sybil,0.500,7,3,4,4,0.2687,86.7,6666667,33,0.000,Sybil cluster (33 wallets) | 0.2687 SOL avg,Funding cluster: 33 wallets
D16qYKZ7m22aW3gzdmyftC1f99ZUoEFPDjMTUK6GeqeS,sybil,0.505,52,26,26,25,0.1440,57.9,6666666,40,0.000,Sybil cluster (40 wallets) | 0.1440 SOL avg,Funding cluster: 40 wallets
H311TRAjD6KEQvknZsNcZDrZGrxgcNjouug1T99zo5JS,sybil,0.500,5,2,3,3,0.0489,167.2,18613,8,0.000,Sybil cluster (8 wallets) | 0.0489 SOL avg,Funding cluster: 8 wallets
2ovyX8TsChvmYnNC7dfix18H3BNDKC2sKCkjVdqT87ne,sybil,0.506,68,34,34,34,0.0385,166.9,66667,37,0.000,Sybil cluster (37 wallets) | 0.0385 SOL avg,Funding cluster: 37 wallets
2puQR7GDLkf6X3iaJaPH58JZhn1ar12D4tc1SRGud1Sj,sybil,0.500,5,3,2,3,0.5186,1551.5,1000000,30,0.000,Sybil cluster (30 wallets) | 0.5186 SOL avg,Funding cluster: 30 wallets
2wEvwwNhBdcH9dAM6g4ZXuyRgLcRQwJpYfvoZTaDJJus,sybil,0.502,72,55,17,6,0.5035,148.2,8266666,50,0.000,Sybil cluster (50 wallets) | 0.5035 SOL avg,Funding cluster: 50 wallets
2pxZnanRBSCLhS6DB6Wm78BVoQPZspKVKVbSyDbFRSZC,metric_bot,0.510,22,11,11,11,0.0314,72.3,802169,1,0.727,Metric bot (73% burst-triggered) | 72s hold,Burst-triggered: 8/11 buys after bursts
8Wcs3254ZmX39TrECe4o3x6bPxz6iSc2np6UKkUucLct,metric_bot,0.501,47,21,26,16,0.6984,167.7,2855646,1,0.667,Metric bot (67% burst-triggered) | 168s hold,Burst-triggered: 14/21 buys after bursts
3KgafZTZoy9JYuaoVc64rre5VYVECgp7DC9irSJ2fss5,sybil,0.503,79,36,43,36,0.3022,39.1,6306666,42,0.000,Sybil cluster (42 wallets) | 0.3022 SOL avg,Funding cluster: 42 wallets
2jL5Rux6y1RNQHwWwR2SYDTTKyR3u4iPo8ttJSXAerAz,sybil,0.503,69,40,29,17,0.4425,25.2,6666666,62,0.000,Sybil cluster (62 wallets) | 0.4425 SOL avg,Funding cluster: 62 wallets
PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN,metric_bot,0.511,9,4,5,5,1.5725,44.4,19851851,1,0.500,Metric bot (50% burst-triggered) | 44s hold,Consistent delay: std=0.02s
J2L495ZPcJ6Btuyd4YqXz5uw7hpKiQXGcLvALwumabED,metric_bot,0.512,9,4,5,5,1.6053,44.4,23851851,7,0.500,Metric bot (50% burst-triggered) | 44s hold,Consistent delay: std=0.00s
68SP5CBZBYzsXFgyTqKFVyRrQ2qowct595tbF6XULeka,sybil,0.512,24,12,12,4,0.1344,81.9,6666666,65,0.000,Sybil cluster (65 wallets) | 0.1344 SOL avg,Funding cluster: 65 wallets
6G8Cu53PRgm5aPHxMaZRguYHJfaNxmnmgoR129cKMvJk,sybil,0.505,24,14,10,11,0.0505,372.3,8333333,60,0.000,Sybil cluster (60 wallets) | 0.0505 SOL avg,Funding cluster: 60 wallets
BfVXwZg6yqkufDCN1D6GEM4qM7xvzpMo22HDHd64Eiva,sybil,0.506,52,24,28,12,0.2211,145.6,810407,42,0.000,Sybil cluster (42 wallets) | 0.2211 SOL avg,Funding cluster: 42 wallets
5BiomWy8B6GHdGmY6wKc6yFvKhXmcGPc129bSq9uC9pw,metric_bot,0.518,18,9,9,10,0.0198,298.6,2237569,2,0.222,Metric bot (22% burst-triggered) | 299s hold,
BwNoz1LFbUiaq7oELvLsEKv3QNZADvNz7gKR1u7BwFnp,sybil,0.512,20,9,11,5,0.2499,43.8,8152948,55,0.000,Sybil cluster (55 wallets) | 0.2499 SOL avg,Funding cluster: 55 wallets; Concentrated volume: 87.0% in smallest 8 buys
2PzbzVMbXjYFGS8huZVEoepkWCUuDmUL7eC62HkJ5jQH,sybil,0.512,22,11,11,11,0.4889,11.6,666666,54,0.000,Sybil cluster (54 wallets) | 0.4889 SOL avg,Funding cluster: 54 wallets; Concentrated volume: 72.7% in smallest 8 buys
1uLm52Hu17tS4iBYW6WsRNFb1CCEdgsqnbrp6TdwUWz,sybil,0.500,8,4,4,5,0.7211,124.0,36666666,16,0.000,Sybil cluster (16 wallets) | 0.7211 SOL avg,Funding cluster: 16 wallets
GZXyRSP45Yb8M1nXm8Eahsjj1GHZoiQvdfpLCcPRSiHF,metric_bot,0.512,10,10,0,1,0.0050,0.0,200000,1,0.000,Metric bot (0% burst-triggered) | 0s hold,Template timing: CV=0.01; Template CU: variance=0
AiVcpdfuQs9oqyEQ4NFz6igFFTp53ajYWtUTLmZx4Pe9,sybil,0.561,119,113,6,4,0.0027,171.5,18933,16,0.000,Sybil cluster (16 wallets) | 0.0027 SOL avg,Funding cluster: 16 wallets; Micro-buys: 0.0011 SOL median
6UcanEPgy9t6aJxpvaU62CmmXpnAp5ny5e8XeoFr1q9b,sybil,0.505,27,18,9,7,0.9556,613.2,8333333,47,0.000,Sybil cluster (47 wallets) | 0.9556 SOL avg,Funding cluster: 47 wallets
Atf2ithwGUByUNUbyyfeGnzek2zP4Pxh7xU8zd7Yvbs1,sybil,0.500,6,3,3,2,0.5081,8.2,1100897,35,0.000,Sybil cluster (35 wallets) | 0.5081 SOL avg,Funding cluster: 35 wallets
AboqMRbxuuiPfhdWPsbKhsw9mYYzb7uuDqehtUxxnopP,metric_bot,0.503,15,9,6,3,0.2535,523.1,2344725,1,0.667,Metric bot (67% burst-triggered) | 523s hold,Burst-triggered: 6/9 buys after bursts
D184zQCrzV8nVYFdzFn4mAfYi7Hx1eSZonaFrUove6NB,sybil,0.501,71,40,31,28,0.1464,221.7,8333333,60,0.000,Sybil cluster (60 wallets) | 0.1464 SOL avg,Funding cluster: 60 wallets
38LSgp6yTR9craitEK6a1Y6ghr9Auq2FdhVGb3i6RWwA,sybil,0.519,9,5,4,4,0.0098,19.0,3999999,35,0.000,Sybil cluster (35 wallets) | 0.0098 SOL avg,Funding cluster: 35 wallets; Micro-buys: 0.0098 SOL median
V56eAFt8Yq3787EpaPWjSBB4WCFo4WjbqgCopcGGDw3,metric_bot,0.546,27,8,19,6,0.0098,9.2,666666,1,0.750,Metric bot (75% burst-triggered) | 9s hold,Burst-triggered: 6/8 buys after bursts; Template CU: variance=0; Fast flips: 9.2s median hold
BWzYCXqAjUqvrKTK97Z6UYRQN6nABgt76g6ao2PWaWRA,deployer,1.000,22,11,11,9,0.3600,154.2,7848484,1,0.000,Deployer (9 tokens),Created 3 token(s)
Aus9Xy9uZRhvVE7S8gjGa6yK3MiiTLp5GCtZkXs3XSZ7,sybil,0.500,5,1,4,3,0.0988,218.6,8333333,61,0.000,Sybil cluster (61 wallets) | 0.0988 SOL avg,Funding cluster: 61 wallets
BkoXa7uEH4mhrfzPRJwoACaXSw3VsUWc9BY9eianVVAj,metric_bot,0.524,94,52,42,31,0.4067,98.5,6666666,1,0.654,Metric bot (65% burst-triggered) | 98s hold,Burst-triggered: 34/52 buys after bursts; Template CU: variance=0
3kVKp6hS7PpqvUJiHo95PVjE65XVcWBiEQddCZbSun9x,sybil,0.500,3,2,1,1,0.7418,38.7,50000,63,0.000,Sybil cluster (63 wallets) | 0.7418 SOL avg,Funding cluster: 40 wallets
D7xK1ZLz8KQNWN8aU1jbzNAuT5xwqgFrCUUYodVU4G42,metric_bot,0.508,60,55,5,6,0.2465,259.4,26133332,1,0.709,Metric bot (71% burst-triggered) | 259s hold,Burst-triggered: 39/55 buys after bursts
BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,sybil,0.501,60,56,4,6,0.2391,614.6,26266666,47,0.000,Sybil cluster (47 wallets) | 0.2391 SOL avg,Funding cluster: 47 wallets
2NgH86jB7PNSNTEPfqWBPSAEjQ9mCRSjruHKJv4PGsAK,sybil,0.500,12,6,6,6,0.3431,396.2,11480133,40,0.000,Sybil cluster (40 wallets) | 0.3431 SOL avg,Funding cluster: 40 wallets
Deep4wz9AWiXiZcTdTptSBM3eRg9s17MksjxuFN4zc3T,metric_bot,0.514,113,21,92,21,0.5017,7.3,1000000,1,0.571,Metric bot (57% burst-triggered) | 7s hold,Burst-triggered: 12/21 buys after bursts; Template CU: variance=0; Fast flips: 7.3s median hold
CZnKVdYV8m7s2XrDCCCfDDDq33JTtUHEuzAV2xnxvjiW,sybil,0.501,262,131,131,131,0.1175,8.9,300000,47,0.000,Sybil cluster (47 wallets) | 0.1175 SOL avg,Funding cluster: 47 wallets
ADkd3swkmsRRpExYHHQJkoRnk7u6egegUEUVkJSxzze3,metric_bot,0.510,5,3,2,3,0.0100,38.2,66667,7,0.333,Metric bot (33% burst-triggered) | 38s hold,Consistent delay: std=0.00s; Template CU: variance=0
4Kv4Biz5MDXUgysMkeoRmMQvPnPX8i7vdMsuh6dNZhNp,sybil,0.500,8,4,4,4,0.1546,21.1,8333333,47,0.000,Sybil cluster (47 wallets) | 0.1546 SOL avg,Funding cluster: 47 wallets
C377AnxQ4S41gkwZVqofGQgBQYqtYHeB8oggWffbmaUV,sybil,0.511,26,14,12,10,0.1828,77.7,666666,40,0.000,Sybil cluster (40 wallets) | 0.1828 SOL avg,Funding cluster: 40 wallets
FXY5sYr36WiBrNCMEWirXCxtZZYq6M5nca4i3N3Gf3j5,sybil,0.502,5,3,2,3,0.0123,65.2,1000000,7,0.000,Sybil cluster (7 wallets) | 0.0123 SOL avg,Funding cluster: 7 wallets; Micro-buys: 0.0081 SOL median
8vHB17rxuobToaacUfr1VMg2Y7NWn5BXQVhPwkh4B4Tn,metric_bot,0.520,11,6,5,6,0.0343,79.2,71605,1,0.333,Metric bot (33% burst-triggered) | 79s hold,
2GJnKbd6876ngRzN9yvha42DMXSaq147ovekHyjF2g23,metric_bot,0.513,13,8,5,6,0.0461,238.8,4697462,5,0.750,Metric bot (75% burst-triggered) | 239s hold,Burst-triggered: 6/8 buys after bursts
56S29mZ3wqvw8hATuUUFqKhGcSGYFASRRFNT38W8q7G3,sybil,0.500,1060,532,528,189,0.3318,66.4,1093225,47,0.000,Sybil cluster (47 wallets) | 0.3318 SOL avg,Funding cluster: 47 wallets
DUxnUk2o2sQ1iiKHJ3ZQ2o8mHQ28thbykn2YC88GKMCV,metric_bot,0.501,110,36,74,18,0.0603,32.3,2826,5,0.667,Metric bot (67% burst-triggered) | 32s hold,Burst-triggered: 24/36 buys after bursts
7Kg9u9nPwmxzELfTkYLRHAsVZrZfFqPkAK1YPRrRwKr9,deployer,1.000,29,10,19,10,1.0074,16.7,6721654,2,0.000,Deployer (10 tokens),Created 10 token(s)
2pUUZYtokRgDV2YzL6M5pjb1jyoHE367yU1sdQ7ac3ea,sybil,0.511,33,15,18,11,0.8509,49.6,13225600,47,0.000,Sybil cluster (47 wallets) | 0.8509 SOL avg,Funding cluster: 47 wallets
3kk4incqftpHdf9XJXMFWyb7KTJqD9G8s8o9prNXoWuE,sybil,0.541,10,10,0,1,0.0047,0.0,200000,21,0.000,Sybil cluster (21 wallets) | 0.0047 SOL avg,Funding cluster: 21 wallets; Micro-buys: 0.0046 SOL median; Concentrated volume: 76.4% in smallest 8 buys
362DVBqgUZgNJDKkj9gCZNKeAN1ubhKU834rnQAcWBvz,sybil,0.541,21,11,10,10,0.0056,252.2,290841,47,0.000,Sybil cluster (47 wallets) | 0.0056 SOL avg,Funding cluster: 47 wallets; Micro-buys: 0.0044 SOL median
EgzgiQeqyXTqGPNG42PUquffMuaAyUGoS1dEGDEpRaVN,sybil,0.511,13,10,3,3,0.3485,16.8,10743589,41,0.000,Sybil cluster (41 wallets) | 0.3485 SOL avg,Funding cluster: 41 wallets
H8Fd8KDo7La5HtFZCpcL4EvHZ1wRdb7Rdr9sXyAPXGnA,sybil,0.510,13,10,3,3,0.3458,16.8,10743589,41,0.000,Sybil cluster (41 wallets) | 0.3458 SOL avg,Funding cluster: 41 wallets
DDDD2zvzaPMLuZiC2Vos2i6TLFjJJ3bi1pN7kXQc3R5R,sybil,0.502,190,95,95,94,0.5115,23.9,40000,21,0.000,Sybil cluster (21 wallets) | 0.5115 SOL avg,Funding cluster: 21 wallets
GXdTXAMr3o9Q1JpThBih2Uwj2MkcKcdiiDDfh4WYEEY,metric_bot,0.521,196,98,98,98,0.2437,22.8,6886965,1,0.847,Metric bot (85% burst-triggered) | 23s hold,Burst-triggered: 83/98 buys after bursts; Fast flips: 22.8s median hold
J3WmMHUixgfcUtL5ov4Cn6LE65cDybgAg7mc1PWGyVY,deployer,1.000,20,11,9,9,0.1344,212.1,910000,1,0.000,Deployer (9 tokens),Created 3 token(s)
CCCCQCrL6zVjnDeucDzcxJgxAs5ahNmrhw1CDexPhqrd,sybil,0.503,134,67,67,67,0.1059,30.6,40000,21,0.000,Sybil cluster (21 wallets) | 0.1059 SOL avg,Funding cluster: 21 wallets
D2RHS1AgvXWktxWAYHgrC9yhiQpcLxf93Xwp3FR1cdQs,deployer,1.000,81,31,50,17,1.0779,15.4,17340000,49,0.000,Deployer (17 tokens),Created 10 token(s)
FzRAeTLNykuqWAREAjwFZQtLSmoM9hzsNJJmMwoYYVFE,sybil,0.501,75,40,35,30,0.3536,127.6,1869192,64,0.000,Sybil cluster (64 wallets) | 0.3536 SOL avg,Funding cluster: 64 wallets
8EU6XxEc6RdTwCZDj6i2Du8VzmcgQ6S9QGkYRk7EPPjf,metric_bot,0.523,14,11,3,2,0.5191,292.6,6666666,1,0.091,Metric bot (9% burst-triggered) | 293s hold,Consistent delay: std=0.00s; Template CU: variance=0
J6vCA7Ps1v1isoxetLSmXPTA46SZyDoTnvr514xJGs57,sybil,0.508,46,23,23,14,0.0306,27.1,2620939,52,0.000,Sybil cluster (52 wallets) | 0.0306 SOL avg,Funding cluster: 52 wallets
Hd5bwcjmXhBoUrqaV65G3hyJbsHqNDn7wA4mTrhjTD5E,metric_bot,0.520,557,245,312,160,0.0841,17.1,350977,1,0.784,Metric bot (78% burst-triggered) | 17s hold,Burst-triggered: 192/245 buys after bursts; Fast flips: 17.1s median hold
CSHooELuuWfFTLiLbUzKmp5osGdmpaAZQ8rfQtbjWa8u,sybil,0.500,7,3,4,4,0.3529,227.5,2743188,41,0.000,Sybil cluster (41 wallets) | 0.3529 SOL avg,Funding cluster: 41 wallets
5WwMqa8wjpFjvubPxJrZq25oLb7n9qusWCQTkUUQTDr3,metric_bot,0.578,26,12,14,13,0.0473,25.1,666666,1,1.000,Metric bot (100% burst-triggered) | 25s hold,Burst-triggered: 12/12 buys after bursts; Template CU: variance=0
7Bd2YHpgShBdVNHv96fSzB45dGPokufVHvi8stRqB567,metric_bot,0.543,33,22,11,4,0.0911,36.2,666666,1,0.818,Metric bot (82% burst-triggered) | 36s hold,Burst-triggered: 18/22 buys after bursts; Template CU: variance=0
728zr4zBMNSj1FpXeCzQH2BxXJNAqRiuFg7tANztLp8X,deployer,1.000,2,1,1,1,0.9877,18.2,19173752,1,0.000,Deployer (1 tokens),Created 1 token(s)
DcRXXBtifMsTTwtqzMcAZWfoLfsBMgyJqPDG4i86NN52,sybil,0.507,39,20,19,15,0.5170,46.3,26710546,45,0.000,Sybil cluster (45 wallets) | 0.5170 SOL avg,Funding cluster: 45 wallets
9eHGTu8GcQdQMYiz7JDptv7RHwv5c8YN2gAkuzoJug2q,sybil,0.506,16,10,6,5,0.3916,41.9,6666666,43,0.000,Sybil cluster (43 wallets) | 0.3916 SOL avg,Funding cluster: 43 wallets
GXp8twzs23KMmdsihwnctvZUhx1mSbKUVZZoWAXzTURn,sybil,0.500,91,53,38,37,0.1749,192.2,3906666,59,0.000,Sybil cluster (59 wallets) | 0.1749 SOL avg,Funding cluster: 59 wallets
CJB3MPrfRxBp6aN77wUVi5uYtigaYghqzagSATLh8yQ8,sybil,0.500,9,4,5,6,0.1361,794.5,8333333,10,0.000,Sybil cluster (10 wallets) | 0.1361 SOL avg,Funding cluster: 10 wallets
27qjt6A3LvGnrUWjpj7yb82VmSU2xupcz548aHU3yNSU,metric_bot,0.532,78,39,39,39,0.2531,13.3,301053,1,0.718,Metric bot (72% burst-triggered) | 13s hold,Burst-triggered: 28/39 buys after bursts; Fast flips: 13.3s median hold
EkVcAha6uAk8ucSmzEMze6ohQJrBe88QxGWptMrDsGab,metric_bot,0.526,7,3,4,3,0.0181,295.5,1000000,1,0.667,Metric bot (67% burst-triggered) | 295s hold,Template CU: variance=0
CmMetMFnbnWXaWVpx1o7ZSRiyv3dR6KdRM6RqMi22tLr,metric_bot,0.521,29,11,18,8,0.3422,36.2,1561933,1,0.818,Metric bot (82% burst-triggered) | 36s hold,Burst-triggered: 9/11 buys after bursts
